samplename,superkingdom,kingdom,subkingdom,phylum,class,subclass,order,suborder,family,subfamily,tribe,genus,species
M01895:175:000000000-CJJKT:1:1109:19133:5141__kiwi2019__AG0320-668__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Microbacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1106:27291:19989__kiwi2019__AG0320-690__515f,Bacteria,,,Bacteroidetes,Sphingobacteriia,,Sphingobacteriales,,Sphingobacteriaceae,,,Pedobacter,
M01895:175:000000000-CJJKT:1:2101:4181:7865__kiwi2019__AG0320-426__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Streptococcaceae,,,Lactococcus,
M01895:175:000000000-CJJKT:1:2101:21418:20667__kiwi2019__AG0320-262__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Moraxellaceae,,,Acinetobacter,
M01895:175:000000000-CJJKT:1:2104:23717:18782__kiwi2019__AG0320-806__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:1109:22430:12776__kiwi2019__AG0320-652__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Vibrionales,,Vibrionaceae,,,Vibrio,
M01895:175:000000000-CJJKT:1:1107:28481:16765__kiwi2019__AG0320-022__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2112:20460:13929__kiwi2019__AG0320-420__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:14751:13943__kiwi2019__AG0320-192__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Taphrinomycetes,,Taphrinales,,Taphrinaceae,,,Taphrina,
M01895:175:000000000-CJJKT:1:1110:18643:25355__kiwi2019__AG0320-641__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:10262:15718__kiwi2019__AG0320-011__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1101:24710:6771__kiwi2019__AG0320-040__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,,,,,
M01895:175:000000000-CJJKT:1:1101:7320:9502__kiwi2019__AG0320-633__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Microbacteriaceae,,,Curtobacterium,
M01895:175:000000000-CJJKT:1:1106:9336:15627__kiwi2019__AG0320-032__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Bacillaceae,,,Bacillus,
M01895:175:000000000-CJJKT:1:1102:23979:22583__kiwi2019__AG0320-154__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:24215:19346__kiwi2019__AG0320-655__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Oceanospirillales,,Oceanospirillaceae,,,Marinomonas,
M01895:175:000000000-CJJKT:1:1108:19161:22524__kiwi2019__AG0320-106__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Tannerellaceae,,,Parabacteroides,uncultured Parabacteroides sp.
M01895:175:000000000-CJJKT:1:1108:12649:28661__kiwi2019__AG0320-522__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1106:12452:23577__kiwi2019__AG0320-405__515f,Eukaryota,Fungi,Dikarya,Basidiomycota,Tremellomycetes,,Tremellales,,Tremellaceae,,,Tremella,
M01895:175:000000000-CJJKT:1:1103:4163:7645__kiwi2019__AG0320-487__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Enterobacterales,,,,,,
M01895:175:000000000-CJJKT:1:2102:23770:10321__kiwi2019__AG0320-292__515f,Bacteria,,,Verrucomicrobia,,,,,,,,,
M01895:175:000000000-CJJKT:1:2105:8440:24238__kiwi2019__AG0320-702__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,,
M01895:175:000000000-CJJKT:1:1102:14014:10385__kiwi2019__AG0320-077__515f,Bacteria,,,Chlamydiae,Chlamydiia,,Parachlamydiales,,,,,,
M01895:175:000000000-CJJKT:1:1101:16313:6579__kiwi2019__AG0320-151__515f,Bacteria,,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,,Flavobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1102:18538:18595__kiwi2019__AG0320-684__515f,Bacteria,,,Acidobacteria,Acidobacteriia,,Acidobacteriales,,Acidobacteriaceae,,,Terriglobus,
M01895:175:000000000-CJJKT:1:1108:16740:8619__kiwi2019__AG0320-769__515f,Bacteria,,,Bacteroidetes,Cytophagia,,Cytophagales,,Hymenobacteraceae,,,Hymenobacter,
M01895:175:000000000-CJJKT:1:2107:22963:3861__kiwi2019__AG0320-100__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Corynebacteriales,,Corynebacteriaceae,,,Corynebacterium,
M01895:175:000000000-CJJKT:1:1101:11654:19138__kiwi2019__AG0320-476__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:10295:11124__kiwi2019__AG0320-359__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Enterobacterales,,Enterobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1105:19794:16088__kiwi2019__AG0320-302__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1101:7776:22660__kiwi2019__AG0320-421__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,Sphingomonas,
M01895:175:000000000-CJJKT:1:1102:19465:4986__kiwi2019__AG0320-098__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,,
M01895:175:000000000-CJJKT:1:1108:24242:8883__kiwi2019__AG0320-092__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Lactobacillaceae,,,Lactobacillus,
M01895:175:000000000-CJJKT:1:2107:12513:1796__kiwi2019__AG0320-460__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Brucellaceae,,,Ochrobactrum,
M01895:175:000000000-CJJKT:1:2103:5893:15488__kiwi2019__AG0320-811__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1101:18221:25411__kiwi2019__AG0320-702__515f,Bacteria,,,Bacteroidetes,Sphingobacteriia,,Sphingobacteriales,,Sphingobacteriaceae,,,Mucilaginibacter,
M01895:175:000000000-CJJKT:1:2102:24706:9028__kiwi2019__AG0320-021__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Bacteroidaceae,,,,
M01895:175:000000000-CJJKT:1:2103:10904:22658__kiwi2019__AG0320-029__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:2102:8103:12670__kiwi2019__AG0320-094__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Lactobacillaceae,,,Lactobacillus,
M01895:175:000000000-CJJKT:1:1109:17170:18976__kiwi2019__AG0320-673__515f,Eukaryota,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:14983:20447__kiwi2019__AG0320-798__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1113:18840:2380__kiwi2019__AG0320-100__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodobacterales,,Rhodobacteraceae,,,Paracoccus,
M01895:175:000000000-CJJKT:1:1101:17160:7064__kiwi2019__AG0320-443__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,Helotiales,,Sclerotiniaceae,,,,
M01895:175:000000000-CJJKT:1:1113:20612:9591__kiwi2019__AG0320-692__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Leotiomycetes,,Helotiales,,,,,,
M01895:175:000000000-CJJKT:1:1109:17016:17538__kiwi2019__AG0320-676__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,,
M01895:175:000000000-CJJKT:1:1107:20685:3322__kiwi2019__AG0320-100__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Corynebacteriales,,Corynebacteriaceae,,,Corynebacterium,
M01895:175:000000000-CJJKT:1:2108:7673:4210__kiwi2019__AG0320-770__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Myriangiales,,Myriangiaceae,,,Myriangium,Myriangium duriaei
M01895:175:000000000-CJJKT:1:1102:21429:24106__kiwi2019__AG0320-890__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1102:28669:19726__kiwi2019__AG0320-018__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Lactobacillaceae,,,Lactobacillus,
M01895:175:000000000-CJJKT:1:1110:15158:7752__kiwi2019__AG0320-010__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1103:10774:21675__kiwi2019__AG0320-769__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:26364:11292__kiwi2019__AG0320-042__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2107:13544:21752__kiwi2019__AG0320-053__515f,Bacteria,,,Firmicutes,,,,,,,,,
M01895:175:000000000-CJJKT:1:1104:25178:11668__kiwi2019__AG0320-010__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1108:7244:4206__kiwi2019__AG0320-311__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1102:7775:23887__kiwi2019__AG0320-739__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Dothideomycetidae,Dothideales,,,,,,
M01895:175:000000000-CJJKT:1:2104:11089:21942__kiwi2019__AG0320-083__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Enterococcaceae,,,,
M01895:175:000000000-CJJKT:1:1114:23306:10460__kiwi2019__AG0320-113__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Bacillaceae,,,,
M01895:175:000000000-CJJKT:1:1103:22076:22807__kiwi2019__AG0320-631__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,Acidisoma,uncultured Acidisoma sp.
M01895:175:000000000-CJJKT:1:1101:27940:19296__kiwi2019__AG0320-266__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Caulobacterales,,Caulobacteraceae,,,Brevundimonas,
M01895:175:000000000-CJJKT:1:1109:7320:13697__kiwi2019__AG0320-115__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Methylobacteriaceae,,,Methylobacterium,
M01895:175:000000000-CJJKT:1:1114:19665:26693__kiwi2019__AG0320-832__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1108:8009:4060__kiwi2019__AG0320-293__515f,Bacteria,,,Verrucomicrobia,Verrucomicrobiae,,Verrucomicrobiales,,Verrucomicrobiaceae,,,,
M01895:175:000000000-CJJKT:1:2105:2554:12350__kiwi2019__AG0320-004__515f,Bacteria,,,Proteobacteria,Deltaproteobacteria,,Desulfovibrionales,,Desulfovibrionaceae,,,Desulfovibrio,
M01895:175:000000000-CJJKT:1:1108:9948:25864__kiwi2019__AG0320-246__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1111:3249:11524__kiwi2019__AG0320-748__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1105:7033:15136__kiwi2019__AG0320-292__515f,Bacteria,,,Verrucomicrobia,Verrucomicrobiae,,Verrucomicrobiales,,Verrucomicrobiaceae,,,,
M01895:175:000000000-CJJKT:1:2112:22907:12511__kiwi2019__AG0320-079__515f,Bacteria,,,Tenericutes,Mollicutes,,Mycoplasmatales,,Mycoplasmataceae,,,Candidatus Hepatoplasma,Candidatus Hepatoplasma crinochetorum
M01895:175:000000000-CJJKT:1:2105:15246:23824__kiwi2019__AG0320-609__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,Sphingomonas,
M01895:175:000000000-CJJKT:1:1111:9261:7944__kiwi2019__AG0320-284__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1110:15378:17777__kiwi2019__AG0320-100__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Actinomycetales,,Actinomycetaceae,,,Actinomyces,
M01895:175:000000000-CJJKT:1:2110:15392:17579__kiwi2019__AG0320-153__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:1104:26050:19285__kiwi2019__AG0320-620__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Moraxellaceae,,,Psychrobacter,
M01895:175:000000000-CJJKT:1:1107:2757:10111__kiwi2019__AG0320-141__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:18746:14190__kiwi2019__AG0320-016__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,Bacteroidaceae,,,Bacteroides,
M01895:175:000000000-CJJKT:1:2114:9346:17725__kiwi2019__AG0320-622__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:1106:15581:9770__kiwi2019__AG0320-675__515f,Bacteria,,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,,Flavobacteriaceae,,,Flavobacterium,
M01895:175:000000000-CJJKT:1:2114:17250:26663__kiwi2019__AG0320-152__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:14899:5533__kiwi2019__AG0320-683__515f,Bacteria,,,Acidobacteria,Acidobacteriia,,Acidobacteriales,,Acidobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1101:15481:22270__kiwi2019__AG0320-657__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Intrasporangiaceae,,,,
M01895:175:000000000-CJJKT:1:1113:4199:20979__kiwi2019__AG0320-332__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:26226:15988__kiwi2019__AG0320-737__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,,
M01895:175:000000000-CJJKT:1:2106:5522:18094__kiwi2019__AG0320-255__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Enterobacterales,,Enterobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2114:16675:11274__kiwi2019__AG0320-645__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pasteurellales,,Pasteurellaceae,,,,
M01895:175:000000000-CJJKT:1:1102:12484:17508__kiwi2019__AG0320-292__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Bacillaceae,,,,
M01895:175:000000000-CJJKT:1:1102:8726:16948__kiwi2019__AG0320-402__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Sordariomycetes,Xylariomycetidae,Xylariales,,,,,,
M01895:175:000000000-CJJKT:1:2108:19738:6763__kiwi2019__AG0320-095__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Microbacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1110:16322:15301__kiwi2019__AG0320-021__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2111:25109:23998__kiwi2019__AG0320-190__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1112:18931:17873__kiwi2019__AG0320-698__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1103:7910:24174__kiwi2019__AG0320-049__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1106:12604:4777__kiwi2019__AG0320-643__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:2103:10622:12699__kiwi2019__AG0320-346__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Pseudomonadales,,Pseudomonadaceae,,,Pseudomonas,
M01895:175:000000000-CJJKT:1:2110:15700:25410__kiwi2019__AG0320-040__515f,Bacteria,,,Bacteroidetes,Bacteroidia,,Bacteroidales,,,,,,
M01895:175:000000000-CJJKT:1:1104:25842:20599__kiwi2019__AG0320-041__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Enterococcaceae,,,Enterococcus,
M01895:175:000000000-CJJKT:1:1103:16736:3302__kiwi2019__AG0320-073__515f,Bacteria,,,Chlamydiae,Chlamydiia,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:22653:19794__kiwi2019__AG0320-292__515f,,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:7620:16637__kiwi2019__AG0320-331__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Neisseriales,,Neisseriaceae,,,,
M01895:175:000000000-CJJKT:1:1108:9272:18768__kiwi2019__AG0320-012__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:9851:17427__kiwi2019__AG0320-069__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Caulobacterales,,Caulobacteraceae,,,Caulobacter,
M01895:175:000000000-CJJKT:1:1101:19310:28517__kiwi2019__AG0320-100__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Bacillaceae,,,Bacillus,
M01895:175:000000000-CJJKT:1:2106:12398:6060__kiwi2019__AG0320-079__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Micrococcales,,Sanguibacteraceae,,,Sanguibacter,
M01895:175:000000000-CJJKT:1:1103:18838:23171__kiwi2019__AG0320-259__515f,Bacteria,,,Bacteroidetes,Sphingobacteriia,,Sphingobacteriales,,Sphingobacteriaceae,,,Sphingobacterium,
M01895:175:000000000-CJJKT:1:2111:11952:23815__kiwi2019__AG0320-010__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:1111:8727:19949__kiwi2019__AG0320-180__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1101:13786:3778__kiwi2019__AG0320-102__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1106:26565:17942__kiwi2019__AG0320-465__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,Tepidimonas,
M01895:175:000000000-CJJKT:1:2111:11947:20393__kiwi2019__AG0320-284__515f,Bacteria,,,Acidobacteria,Acidobacteriia,,Acidobacteriales,,Acidobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1101:11514:25127__kiwi2019__AG0320-205__515f,Archaea,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:7697:24392__kiwi2019__AG0320-055__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Aeromonadales,,Aeromonadaceae,,,Aeromonas,
M01895:175:000000000-CJJKT:1:1103:3206:9649__kiwi2019__AG0320-620__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,,,,,
M01895:175:000000000-CJJKT:1:2108:5088:20949__kiwi2019__AG0320-110__515f,Bacteria,,,Bacteroidetes,Flavobacteriia,,Flavobacteriales,,Flavobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:1103:13598:8122__kiwi2019__AG0320-627__515f,Bacteria,,,Firmicutes,Bacilli,,Bacillales,,Paenibacillaceae,,,,
M01895:175:000000000-CJJKT:1:2103:25800:9584__kiwi2019__AG0320-420__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:1108:26608:13682__kiwi2019__AG0320-676__515f,Bacteria,,,Bacteroidetes,Sphingobacteriia,,Sphingobacteriales,,Sphingobacteriaceae,,,,
M01895:175:000000000-CJJKT:1:2104:13232:6440__kiwi2019__AG0320-687__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,,
M01895:175:000000000-CJJKT:1:1112:20778:4250__kiwi2019__AG0320-067__515f,Bacteria,,,Firmicutes,Clostridia,,Clostridiales,,,,,,
M01895:175:000000000-CJJKT:1:2104:29515:15936__kiwi2019__AG0320-190__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Sphingomonadales,,Sphingomonadaceae,,,,
M01895:175:000000000-CJJKT:1:1104:13964:21297__kiwi2019__AG0320-056__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,Nevskiales,,Sinobacteraceae,,,Steroidobacter,uncultured Steroidobacter sp.
M01895:175:000000000-CJJKT:1:1111:10451:6184__kiwi2019__AG0320-090__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Comamonadaceae,,,,
M01895:175:000000000-CJJKT:1:1103:17524:14553__kiwi2019__AG0320-263__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:6894:7287__kiwi2019__AG0320-539__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Geodermatophilales,,Geodermatophilaceae,,,Modestobacter,
M01895:175:000000000-CJJKT:1:2112:20079:10551__kiwi2019__AG0320-106__515f,Bacteria,,,Proteobacteria,Betaproteobacteria,,Burkholderiales,,Sutterellaceae,,,Parasutterella,
M01895:175:000000000-CJJKT:1:1111:14144:6147__kiwi2019__AG0320-172__515f,Eukaryota,Viridiplantae,,Streptophyta,,,,,,,,,
M01895:175:000000000-CJJKT:1:2101:24751:20247__kiwi2019__AG0320-021__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2106:12758:19550__kiwi2019__AG0320-232__515f,Eukaryota,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:2109:10862:9770__kiwi2019__AG0320-276__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhodospirillales,,Acetobacteraceae,,,Roseomonas,
M01895:175:000000000-CJJKT:1:1103:25326:6864__kiwi2019__AG0320-056__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:2111:16018:15192__kiwi2019__AG0320-505__515f,Bacteria,,,Proteobacteria,Gammaproteobacteria,,,,,,,,
M01895:175:000000000-CJJKT:1:1105:7269:9860__kiwi2019__AG0320-226__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Corynebacteriales,,Corynebacteriaceae,,,Corynebacterium,
M01895:175:000000000-CJJKT:1:1111:25441:24020__kiwi2019__AG0320-617__515f,Bacteria,,,Actinobacteria,Actinobacteria,,Bifidobacteriales,,Bifidobacteriaceae,,,Gardnerella,
M01895:175:000000000-CJJKT:1:1102:16219:26690__kiwi2019__AG0320-693__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Eurotiomycetes,,,,,,,,
M01895:175:000000000-CJJKT:1:2108:5403:12067__kiwi2019__AG0320-658__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,,,,,
M01895:175:000000000-CJJKT:1:2113:25109:19394__kiwi2019__AG0320-437__515f,Bacteria,,,Proteobacteria,Alphaproteobacteria,,Rhizobiales,,Bradyrhizobiaceae,,,Bosea,
M01895:175:000000000-CJJKT:1:2114:22403:11529__kiwi2019__AG0320-289__515f,Bacteria,,,,,,,,,,,,
M01895:175:000000000-CJJKT:1:1111:11197:22756__kiwi2019__AG0320-606__515f,Bacteria,,,Firmicutes,Bacilli,,Lactobacillales,,Lactobacillaceae,,,Lactobacillus,
M01895:175:000000000-CJJKT:1:1106:9645:8023__kiwi2019__AG0320-429__515f,Eukaryota,Fungi,Dikarya,Ascomycota,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,,,,,
